combination,speed,repeatability mean,repeatability std,total num matches,number possible correct matches,total correct matches,ratio correct/total matches,ratio correct/possible correct matches,size mean,size std,size normalized std,size min,size max,size unique count,size correct: avg,size correct/all ratio,total num keypoints,correct matches per sequence: avg,correct matches per sequence: std,distance correct/all ratio,response correct/all ratio,distinctiveness all: avg,distinctiveness correct: avg,distinctiveness correct/all ratio,match rank: avg,match rank: std,match rank correct: avg,match rank correct: std,ratio rank >25 / all,ratio rank >25 correct / rank >25,Matching distance mAP,Matching average_response mAP,Matching distinctiveness mAP,Verification distance AP,Verification average_response AP,Verification distinctiveness AP,Retrieval distance mAP,Retrieval average_response mAP,Retrieval distinctiveness mAP,distance-distinctiveness correlation,distance-average response correlation
GFTT+ORB 3,0,0.3896834782608696,0.21103604634627451,135491,56017,39154,0.2889786037448982,0.6989663852044915,3.0,0.0,0.0,3.0,3.0,1,3.0,1.0,172453,340.4695652173913,221.10726579370356,0.5380232497730516,1.0300581123972676,0.24499462589046211,0.5928300882194021,2.419767723739615,4.266512166859791,8.55593062961064,0.174592634213618,1.258352943888093,0.04660826180336701,0.0005363436685906931,0.6902786551304472,0.3940322437850237,0.7778120611696429,0.6467859531820919,0.11498899491227717,0.756830050681232,0.886579953995162,0.7954447799316116,0.9242605450058771,0.5880024196075507,-0.010905350974719386
GFTT+SIFT 3,0,0.3891408695652174,0.21352379193191326,134128,55939,42852,0.3194858642490755,0.7660487316541232,3.0,0.0,0.0,3.0,3.0,1,3.0,1.0,172500,372.62608695652176,226.4233610957701,0.5408454727001519,1.0489593150700467,0.5062213012777215,0.9321786043281328,1.841444842355071,4.018102111415961,8.58475683887753,0.11551386166339961,0.9123621562784425,0.04585917929142312,0.00025669747036311024,0.7834734781765381,0.4342706274519592,0.7974436096051831,0.7836513349458178,0.1304080919840516,0.7428377137317449,0.9339001529690603,0.8421772807215233,0.9381723316125864,0.6179384447342364,0.035658892022902205
GFTT+BRIEF 3,0,0.3894886956521739,0.21126970883733362,134256,55989,40365,0.30065695387915625,0.7209451856614693,3.0,0.0,0.0,3.0,3.0,1,3.0,1.0,172481,351.0,218.03840906153886,0.5048610494906554,1.032101491891595,0.2548026269086793,0.5838178895000528,2.291255379047924,4.124605231795972,8.497375319054381,0.1460671373714852,1.0343390432957698,0.045644142533667026,0.0002477393781741608,0.7406807759583249,0.40841887978470653,0.7872667802447267,0.7290526089574442,0.11984650920889972,0.7350893420677059,0.9167049711096416,0.8260904524306005,0.935706453067551,0.6040572821107166,0.0013014884150217238
ORB+BRISK 3,0,0.35135304347826085,0.20783551745749376,135232,50507,31692,0.23435281590156176,0.6274773793731562,45.25326004538331,15.109871107272998,0.3338957478890958,31.0,111.0786361694336,36,45.21736750674341,0.9992068518687073,172139,275.5826086956522,169.85292781947234,0.5128771928432748,0.9868170086174679,0.3202436732362273,0.7608115593534545,2.3757270570408515,4.4073518102224325,8.538187101611305,0.24047078126972107,1.5034183374767311,0.04654963322290582,0.0009781648365518112,0.7800436933308688,0.29634452901669384,0.726231997849334,0.7590406461062194,0.0846475726911402,0.6583690757518786,0.9525986470512795,0.7391736147451847,0.944691538246731,0.5698136604689219,0.023898243895928532
ORB+ORB 3,0,0.34509913043478263,0.2083752190455653,137170,49608,31605,0.2304075235109718,0.6370948234155781,45.88200185672443,15.87095310997902,0.345908035127569,31.0,111.0786361694336,36,46.713459508672884,1.0181216515910714,172500,274.82608695652175,170.88975652357894,0.5628399559533439,0.976158060652796,0.21490072042046954,0.5523151439145779,2.570094427016957,3.69039148501859,7.662176376522646,0.23312766967252016,1.3796532094412564,0.035102427644528686,0.0007277329536465749,0.7528394372447078,0.2891692648725264,0.760293136041425,0.7115998879129961,0.08365079277195239,0.7086666940587687,0.9186045112390105,0.6726370881808462,0.9360987842619256,0.729976698385112,0.004478295010147722
ORB+SIFT 3,0,0.34509913043478263,0.2083752190455653,127106,49608,27137,0.21349896936415275,0.547028705047573,44.730321702583055,17.40984533452268,0.38921797724332724,31.0,111.0786361694336,36,44.471323925265295,0.9942097939952262,172500,235.97391304347826,153.33977395311513,0.5598886944294498,0.9748639551528945,0.3559808622542307,0.7934105047724885,2.2288010084257253,6.621489150787531,11.142165353303364,0.3912002063603199,2.162205027790919,0.09090837568643495,0.002211003427055312,0.6180638146196885,0.2560774723098271,0.5745785453972472,0.5929057878358353,0.07120732764375629,0.46884519245699385,0.9290949590459385,0.7251438745648039,0.9174639600899016,0.4525889028224894,0.09407077703058055
ORB+BRIEF 3,0,0.34509913043478263,0.2083752190455653,130461,49608,37723,0.2891515472056783,0.7604217061764231,45.951527782634955,16.146447479973148,0.35137999233346223,31.0,111.0786361694336,36,46.240276239944905,1.0062837618517455,172500,328.02608695652174,199.02127746722985,0.48520331770364045,1.0037995507763287,0.1501518892462389,0.3248461021446937,2.163449982383959,5.652639486129955,9.86644539462868,0.5204252047822283,1.7620190073185582,0.06766773211917738,0.0008747978686742836,0.7366198531117609,0.3472499160380005,0.7000949325872178,0.7444044392176118,0.1070631875553227,0.5085446300931162,0.9024060667160757,0.8088707677276465,0.9120194488985185,0.5037764137383431,-0.031606367876617504
SIFT+BRISK 3,0,0.3020382608695652,0.17277598040720557,131824,43418,26652,0.2021786624590363,0.6138467916532314,5.683779451317858,7.375689111979805,1.297673348368515,1.7983053922653198,197.4391553401947,116039,5.940636448710866,1.0451912322765184,172278,231.75652173913045,157.64636215576044,0.5191234513524385,0.9810661435559437,0.2603926376404609,0.6313888136040274,2.424756780089237,4.760263684913218,9.003521942589666,0.24463454900195108,1.7279624048308755,0.05305558927054254,0.0012381809995497524,0.7178988908483791,0.28392484870875406,0.6418668491793392,0.6785363500762867,0.07787088012496136,0.49322480474092023,0.9042085640359778,0.6636062193034081,0.8875488822503935,0.49544397245768884,0.015010269476519464
SIFT+SIFT 3,0,0.30040347826086955,0.1729223519791142,131735,43183,33377,0.25336470945458683,0.7729198990343422,5.9015311042421,8.218057613883833,1.392529746725656,1.7977952361106873,346.2698974609375,121261,5.7700067896084635,0.9777135268271153,172322,290.23478260869564,165.23960628681704,0.4911713344431645,1.0011392749068366,0.48595465478898187,0.9541760291019702,1.9635083637923092,4.1060690021634345,8.619329273134092,0.07052760883242952,0.7320364341667787,0.045811667362508066,0.00014980375707822753,0.7722652399480863,0.3420124485315802,0.8068138378067848,0.729636690007259,0.09074056592754356,0.7729372039121477,0.9541272616552309,0.7604723093853473,0.9486508666499451,0.5646362328780987,0.031687808718929546
SIFT+BRIEF 3,0,0.3023491909741332,0.17174200841820075,132323,43439,32695,0.2470847849580194,0.7526646561845346,5.995601297000539,8.042577516846556,1.341412999038157,1.796990156173706,239.13036346435547,116857,5.49521289143582,0.9165407469947924,172168,284.30434782608694,171.3132484997328,0.4824489641761678,1.0051778007248646,0.19296309709889728,0.4794400743002801,2.48462053889277,4.777287395237411,8.98379003984971,0.17733598409542745,1.2967167824755157,0.0536641400210092,0.0004893714635265331,0.7259949002297931,0.3415100784782707,0.7374141432549224,0.7159151978329347,0.11430838480576416,0.6321070750166323,0.9055838910547708,0.8065344549156451,0.9223197948337706,0.5514709577696332,-0.012433625788394766
SIFT SIG 4.8+BRISK 3,0,0.30117156037559256,0.1809979061714665,122287,40789,28817,0.23565055974878768,0.7064894947167129,12.465439903519409,9.993387585059487,0.801687518644089,5.399348497390747,442.14707946777344,109866,11.81797344520702,0.9480590766692809,161824,250.58260869565217,141.36022333393785,0.5746974531481703,1.0152798863322405,0.2726624284494998,0.6422941173294385,2.355638512360711,4.166616238847956,8.198852236769985,0.18183711003921296,1.4178793468014403,0.04111639013141217,0.0007981399868133394,0.759301146305785,0.3198971072092758,0.725169318201719,0.6950838139991431,0.09829566767095378,0.5741817012838273,0.9358537689719039,0.7007130622889793,0.9409289402864468,0.5600181784311679,0.07606336636385398
SIFT SIG 4.8+SIFT SIG 4.8 3,0,0.29805034874186653,0.17967682015752803,125888,40780,35675,0.2833868200305033,0.874816086316822,13.338052699129307,12.565014776751354,0.94204266995973,5.4032816886901855,442.14707946777344,116207,11.753108911614529,0.8811712756526865,163288,310.2173913043478,150.66771862835438,0.46326639826679084,1.0286299562448593,0.5328012802328717,0.9673907279712817,1.815668925473422,3.4194363243518047,7.747949223557871,0.04451296426068675,0.5584369369507348,0.03584932638535841,8.409250175192712e-05,0.8387361183612263,0.38159044655640056,0.8376725654967173,0.8117980514812658,0.11669361015988024,0.8150598536248168,0.9860831310616652,0.8609844688502301,0.9757342448491556,0.5941211035978337,0.028423184664958284
SIFT SIG 4.8+BRIEF 3,0,0.2980063467885956,0.1794712717391611,123685,40196,31087,0.2513400978291628,0.7733854114837297,13.439683497994421,12.261682472273455,0.9123490500429747,5.3972556591033936,271.7062225341797,111675,11.480848986855477,0.8542499522826369,161442,270.32173913043476,156.01820115815843,0.47528691771006804,1.01596892504068,0.21239334105984753,0.4937673285787203,2.3247778207867076,4.1070218700731695,8.282885240593872,0.16859137259947887,1.236649523177768,0.04251930306827829,0.00045034902049088043,0.7290567287894275,0.34855088547679813,0.7092397652357582,0.7204599524303342,0.11650925252435353,0.5878344631050718,0.9069305615784935,0.7862338376569128,0.9259140678689313,0.4983715521381366,0.04448987841751661
